run_config,sys_name,sys_processor,sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,run_settings,run_threads,run_input1,run_outputF_1P,run_seedMismatch,run_palindromeClipThreshold,run_simpleClipThreshold,run_leading,run_trailing,run_sliding_size,run_sliding_quality,run_minlen,run_mi_length,run_mi_strict,total_exe_time_s,total_wt_tau_time_ms,max_bytes_read_mb,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps
run-36.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.2,5.01362156867981,122910,7346.0,8192.0,7346.0,2048.0
run-31.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.5,5.899447441101074,146732,7346.0,8192.0,7346.0,1638.0
run-51.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.2,5.563940763473511,137369,7346.0,8192.0,5272.0,2048.0
run-28.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.5,6.3976874351501465,159208,7346.0,8192.0,3673.0,2048.0
run-52.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.5,5.757558584213257,142798,7346.0,8192.0,5272.0,2048.0
run-70.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.5,4.427985191345215,224932,7346.0,8192.0,5272.0,2048.0
run-9.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.2,3.3446927070617676,43265,7346.0,8192.0,5272.0,2048.0
run-54.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.2,9.507781982421877,547674,7346.0,8192.0,5272.0,2048.0
run-20.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.8,3.5260021686553955,45759,7346.0,8192.0,7346.0,2048.0
run-56.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.8,4.683932304382324,240875,7346.0,8192.0,5272.0,2048.0
