GPU,sys_phy_cores_count,sys_tot_cores_count,sys_ntasks_per_core,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,data_rr_count,model_encoding,batch_size,epochs,learning_rate,epochs_times_one,epochs_times_avg,fit_time
0,48,48,48,3900.0,201355902976,51539603456,1000,3,1,2,0.001,107.2,104.94,210.26
0,48,48,48,3900.0,201355902976,51539603456,1000,1,10,1,0.001,115.93,115.93,116.21
0,48,48,48,3900.0,201355902976,51539603456,1000,2,10,1,0.001,57.9,57.9,58.2
0,48,48,48,3900.0,201355902976,51539603456,1000,3,10,1,0.001,44.73,44.73,45.01
0,48,48,48,3900.0,201355902976,51539603456,1000,1,10,2,0.001,115.34,114.68,229.65
0,48,48,48,3900.0,201355902976,51539603456,1000,2,10,2,0.001,56.72,55.095,110.47
0,48,48,48,3900.0,201355902976,51539603456,1000,3,10,2,0.001,44.63,42.205,84.69
0,48,48,48,3900.0,201355902976,51539603456,1000,1,32,1,0.001,107.14,107.14,107.43
0,48,48,48,3900.0,201355902976,51539603456,1000,2,32,1,0.001,45.28,45.28,45.55
0,48,48,48,3900.0,201355902976,51539603456,1000,3,32,1,0.001,38.01,38.01,38.26
0,48,48,48,3900.0,201355902976,51539603456,1000,1,32,2,0.001,107.32,106.485,213.22
0,48,48,48,3900.0,201355902976,51539603456,1000,2,32,2,0.001,45.53,43.515,87.28
0,48,48,48,3900.0,201355902976,51539603456,1000,3,32,2,0.001,38.29,35.89,72.08
0,48,48,48,3900.0,201355902976,51539603456,1000,1,64,1,0.001,104.9,104.9,105.23
0,48,48,48,3900.0,201355902976,51539603456,1000,2,64,1,0.001,43.23,43.23,43.52
0,48,48,48,3900.0,201355902976,51539603456,1000,3,64,1,0.001,36.27,36.27,36.44
0,48,48,48,3900.0,201355902976,51539603456,1000,1,64,2,0.001,104.65,104.38,208.95
0,48,48,48,3900.0,201355902976,51539603456,1000,2,64,2,0.001,43.02,41.17,82.62
0,48,48,48,3900.0,201355902976,51539603456,1000,3,64,2,0.001,35.88,33.435,67.17
0,48,48,48,3900.0,201355902976,51539603456,1000,1,128,1,0.001,102.34,102.34,102.52
0,48,48,48,3900.0,201355902976,51539603456,1000,2,128,1,0.001,40.44,40.44,40.67
0,48,48,48,3900.0,201355902976,51539603456,1000,3,128,1,0.001,33.64,33.64,33.81
0,48,48,48,3900.0,201355902976,51539603456,1000,1,128,2,0.001,102.97,102.45,205.16
0,48,48,48,3900.0,201355902976,51539603456,1000,2,128,2,0.001,40.34,38.725,78.21
0,48,48,48,3900.0,201355902976,51539603456,1000,3,128,2,0.001,33.65,31.43,63.05
0,48,48,48,3900.0,201355902976,51539603456,200,1,1,1,0.001,42.62,42.62,42.71
0,48,48,48,3900.0,201355902976,51539603456,200,2,1,1,0.001,31.11,31.11,31.17
0,48,48,48,3900.0,201355902976,51539603456,200,3,1,1,0.001,25.03,25.03,25.1
0,48,48,48,3900.0,201355902976,51539603456,200,1,1,2,0.001,42.73,42.375,84.83
0,48,48,48,3900.0,201355902976,51539603456,200,2,1,2,0.001,31.91,30.045,60.19
0,48,48,48,3900.0,201355902976,51539603456,200,3,1,2,0.001,25.04,22.69,45.46
0,48,48,48,3900.0,201355902976,51539603456,200,1,10,1,0.001,23.63,23.63,23.71
0,48,48,48,3900.0,201355902976,51539603456,200,2,10,1,0.001,14.05,14.05,14.1
0,48,48,48,3900.0,201355902976,51539603456,200,3,10,1,0.001,12.44,12.44,12.5
0,48,48,48,3900.0,201355902976,51539603456,200,1,10,2,0.001,23.48,23.4,46.88
0,48,48,48,3900.0,201355902976,51539603456,200,2,10,2,0.001,14.26,12.535,25.14
0,48,48,48,3900.0,201355902976,51539603456,200,3,10,2,0.001,12.15,9.96,19.98
0,48,48,48,3900.0,201355902976,51539603456,200,1,32,1,0.001,21.69,21.69,21.74
0,48,48,48,3900.0,201355902976,51539603456,200,2,32,1,0.001,11.93,11.93,11.99
0,48,48,48,3900.0,201355902976,51539603456,200,3,32,1,0.001,11.1,11.1,11.15
0,48,48,48,3900.0,201355902976,51539603456,200,1,32,2,0.001,21.88,21.59,43.26
0,48,48,48,3900.0,201355902976,51539603456,200,2,32,2,0.001,12.02,10.21,20.5
0,48,48,48,3900.0,201355902976,51539603456,200,3,32,2,0.001,11.28,9.02,18.15
0,48,48,48,3900.0,201355902976,51539603456,200,1,64,1,0.001,21.51,21.51,21.58
0,48,48,48,3900.0,201355902976,51539603456,200,2,64,1,0.001,11.49,11.49,11.6
0,48,48,48,3900.0,201355902976,51539603456,200,3,64,1,0.001,10.83,10.83,10.89
0,48,48,48,3900.0,201355902976,51539603456,200,1,64,2,0.001,21.75,21.4,42.91
0,48,48,48,3900.0,201355902976,51539603456,200,2,64,2,0.001,11.86,10.005,20.13
0,48,48,48,3900.0,201355902976,51539603456,200,3,64,2,0.001,10.95,8.705,17.49
0,48,48,48,3900.0,201355902976,51539603456,200,1,128,1,0.001,20.85,20.85,20.91
0,48,48,48,3900.0,201355902976,51539603456,200,2,128,1,0.001,11.15,11.15,11.24
0,48,48,48,3900.0,201355902976,51539603456,200,3,128,1,0.001,10.55,10.55,10.66
0,48,48,48,3900.0,201355902976,51539603456,200,1,128,2,0.001,21.15,20.84,41.75
0,48,48,48,3900.0,201355902976,51539603456,200,2,128,2,0.001,11.2,9.335,18.75
0,48,48,48,3900.0,201355902976,51539603456,200,3,128,2,0.001,10.49,8.225,16.51
0,48,48,48,3900.0,201355902976,51539603456,200,1,200,1,0.001,20.89,20.89,20.96
0,48,48,48,3900.0,201355902976,51539603456,200,2,200,1,0.001,10.63,10.63,10.7
0,48,48,48,3900.0,201355902976,51539603456,200,3,200,1,0.001,10.25,10.25,10.32
0,48,48,48,3900.0,201355902976,51539603456,200,1,200,2,0.001,21.04,20.66,41.4
