sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,run_threads,run_seedMismatch,run_palindromeClipThreshold,run_simpleClipThreshold,run_leading,run_sliding_size,run_sliding_quality,run_minlen,run_mi_length,run_mi_strict,max_bytes_read_mb,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps,data_rr_count,total_exe_time_s
2,2,2304.0,2217431040,2147479552,50,5,20,10,3,25,26,36,36,0.8,7412.0,8192.0,3673.0,1638.0,20000,3.1816084384918213
2,2,2304.0,2217431040,2147479552,50,5,20,10,3,4,3,36,36,0.2,7412.0,8192.0,7346.0,2048.0,20000,3.0746066570281982
2,2,2304.0,2217431040,2147479552,50,5,20,10,33,10,15,36,36,0.5,7412.0,8192.0,7346.0,2048.0,20000,3.115346670150757
2,2,2304.0,2217431040,2147479552,50,5,16,8,3,25,26,36,36,0.8,7412.0,8192.0,7346.0,2048.0,20000,2.910515546798706
2,2,2304.0,2217431040,2147479552,10,5,16,8,3,4,15,36,36,0.8,7412.0,8192.0,5272.0,2048.0,20000,2.583241701126098
2,2,2304.0,2217431040,2147479552,10,5,16,8,15,25,15,36,36,0.8,7412.0,8192.0,3673.0,2048.0,20000,2.4767303466796875
2,2,2304.0,2217431040,2147479552,10,5,16,8,15,25,15,36,36,0.5,7412.0,8192.0,7346.0,2048.0,20000,3.230839252471924
2,2,2304.0,2217431040,2147479552,50,5,20,10,3,25,33,36,36,0.5,7412.0,8192.0,5272.0,2048.0,20000,3.04437255859375
2,2,2304.0,2217431040,2147479552,50,5,16,8,3,10,26,36,36,0.2,7412.0,8192.0,7346.0,2048.0,20000,2.510574579238892
2,2,2304.0,2217431040,2147479552,50,5,16,8,3,4,33,36,36,0.5,7412.0,8192.0,7346.0,2048.0,20000,2.8628389835357666
2,2,2304.0,2217431040,2147479552,10,5,20,10,33,25,3,36,36,0.2,7412.0,8192.0,7346.0,2048.0,20000,2.978489637374878
2,2,2304.0,2217431040,2147479552,10,5,16,8,3,4,33,36,36,0.2,7412.0,8192.0,3673.0,2048.0,20000,2.944669485092163
2,2,2304.0,2217431040,2147479552,50,5,16,8,33,25,26,36,36,0.2,7412.0,8192.0,7346.0,2048.0,20000,2.609652519226074
2,2,2304.0,2217431040,2147479552,50,5,20,10,15,10,33,36,36,0.5,7412.0,8192.0,3706.0,2048.0,20000,3.077030897140503
2,2,2304.0,2217431040,2147479552,50,5,20,10,33,10,3,36,36,0.5,7412.0,8192.0,3706.0,2048.0,20000,2.711487054824829
2,2,2304.0,2217431040,2147479552,50,5,30,15,3,25,33,36,36,0.2,7412.0,8192.0,3706.0,1638.0,20000,2.6237289905548096
2,2,2304.0,2217431040,2147479552,10,5,16,8,33,10,15,36,36,0.8,7412.0,8192.0,3706.0,2048.0,20000,2.778515577316284
2,2,2304.0,2217431040,2147479552,10,5,16,8,33,10,33,36,36,0.8,7412.0,8192.0,7412.0,2048.0,20000,2.7807810306549072
2,2,2304.0,2217431040,2147479552,50,5,30,15,3,10,33,36,36,0.5,7412.0,8192.0,7346.0,2048.0,20000,3.1739978790283203
2,2,2304.0,2217431040,2147479552,50,5,30,15,15,25,15,36,36,0.2,7412.0,8192.0,5272.0,2048.0,20000,2.8885457515716557
2,2,2304.0,2217431040,2147479552,10,5,16,8,33,25,26,36,36,0.8,7412.0,8192.0,3706.0,2048.0,20000,2.936373472213745
2,2,2304.0,2217431040,2147479552,50,5,20,10,3,25,3,36,36,0.2,7412.0,8192.0,7346.0,2048.0,20000,2.9183504581451416
2,2,2304.0,2217431040,2147479552,50,5,30,15,33,4,3,36,36,0.5,7412.0,8192.0,5272.0,2048.0,20000,2.7331247329711914
2,2,2304.0,2217431040,2147479552,50,5,30,15,15,10,26,36,36,0.2,7412.0,8192.0,3706.0,2048.0,20000,2.5746817588806152
2,2,2304.0,2217431040,2147479552,50,5,30,15,33,10,3,36,36,0.2,7412.0,8192.0,7346.0,2048.0,20000,2.725464105606079
2,2,2304.0,2217431040,2147479552,10,5,16,8,3,25,15,36,36,0.2,7412.0,8192.0,7346.0,2048.0,20000,2.5812222957611084
2,2,2304.0,2217431040,2147479552,50,5,20,10,33,25,3,36,36,0.8,7412.0,8192.0,7346.0,2048.0,20000,2.91990327835083
2,2,2304.0,2217431040,2147479552,50,5,20,10,15,25,26,36,36,0.5,7412.0,8192.0,7346.0,2048.0,20000,2.219547986984253
2,2,2304.0,2217431040,2147479552,50,5,30,15,33,4,3,36,36,0.2,7412.0,8192.0,7346.0,1638.0,20000,3.22994327545166
2,2,2304.0,2217431040,2147479552,50,5,16,8,15,10,3,36,36,0.8,7412.0,8192.0,3706.0,2048.0,20000,2.510764837265014
2,2,2304.0,2217431040,2147479552,10,5,20,10,33,25,15,36,36,0.8,7412.0,8192.0,3706.0,2048.0,20000,2.923305988311768
2,2,2304.0,2217431040,2147479552,50,5,30,15,15,25,3,36,36,0.5,7412.0,8192.0,3706.0,2048.0,20000,2.424448013305664
2,2,2304.0,2217431040,2147479552,50,5,16,8,15,25,33,36,36,0.5,7412.0,8192.0,3706.0,2048.0,20000,2.891136407852173
2,2,2304.0,2217431040,2147479552,10,5,20,10,3,25,33,36,36,0.5,7412.0,8192.0,3706.0,1638.0,20000,2.4827847480773926
2,2,2304.0,2217431040,2147479552,10,5,16,8,15,4,33,36,36,0.2,7412.0,8192.0,7346.0,2048.0,20000,2.878995180130005
2,2,2304.0,2217431040,2147479552,50,5,20,10,3,10,33,36,36,0.2,7412.0,8192.0,5272.0,2048.0,20000,2.572969675064087
2,2,2304.0,2217431040,2147479552,10,5,20,10,3,10,26,36,36,0.8,7412.0,8192.0,7346.0,2048.0,20000,2.3295111656188965
2,2,2304.0,2217431040,2147479552,50,5,20,10,15,25,26,36,36,0.2,7412.0,8192.0,3706.0,2048.0,20000,2.87939190864563
2,2,2304.0,2217431040,2147479552,50,5,20,10,33,10,33,36,36,0.8,7412.0,8192.0,5272.0,2048.0,20000,2.7909858226776123
2,2,2304.0,2217431040,2147479552,50,5,30,15,33,10,15,36,36,0.2,7412.0,8192.0,7346.0,2048.0,20000,2.883643388748169
2,2,2304.0,2217431040,2147479552,50,5,30,15,15,25,33,36,36,0.8,7412.0,8192.0,3673.0,2048.0,20000,3.103689432144165
2,2,2304.0,2217431040,2147479552,10,5,20,10,15,25,3,36,36,0.5,7412.0,8192.0,3706.0,1638.0,20000,2.8362367153167725
